bikeid,ride_count(次),total_distance(km),avg_distance(km),total_duration(min),avg_duration(min)
288705,1,5.05,5.05,30.0,30.0
288707,1,1.25,1.25,15.0,15.0
288721,1,1.05,1.05,7.0,7.0
288723,1,0.36,0.36,43.0,43.0
288725,1,1.24,1.24,61.0,61.0
288730,1,1.32,1.32,11.0,11.0
288736,1,0.49,0.49,6.0,6.0
288742,1,0.72,0.72,8.0,8.0
288748,1,0.15,0.15,84.0,84.0
288752,2,2.76,1.38,27.0,13.5
288753,1,0.62,0.62,4.0,4.0
288760,1,0.72,0.72,5.0,5.0
288763,1,7.61,7.61,45.0,45.0
288764,1,1.79,1.79,46.0,46.0
288769,1,0.15,0.15,22.0,22.0
288781,1,2.23,2.23,26.0,26.0
288789,1,0.48,0.48,3.0,3.0
288793,1,1.36,1.36,10.0,10.0
288801,1,1.84,1.84,28.0,28.0
288804,1,0.67,0.67,12.0,12.0
288807,1,0.89,0.89,7.0,7.0
288812,1,2.32,2.32,32.0,32.0
288836,2,3.24,1.62,48.0,24.0
288838,1,1.54,1.54,9.0,9.0
288841,2,1.18,0.59,23.0,11.5
288843,1,3.47,3.47,25.0,25.0
288848,1,0.91,0.91,30.0,30.0
288857,1,1.34,1.34,16.0,16.0
288860,1,1.01,1.01,8.0,8.0
288873,1,1.76,1.76,16.0,16.0
288879,1,1.23,1.23,8.0,8.0
288892,1,1.09,1.09,7.0,7.0
288896,1,3.39,3.39,27.0,27.0
288907,2,0.8,0.4,16.0,8.0
288912,1,2.74,2.74,24.0,24.0
288934,1,5.32,5.32,46.0,46.0
288935,1,1.64,1.64,24.0,24.0
288944,2,3.6,1.8,23.0,11.5
288947,1,2.02,2.02,15.0,15.0
288959,1,1.58,1.58,39.0,39.0
288964,1,3.92,3.92,51.0,51.0
288978,1,0.61,0.61,7.0,7.0
288985,1,0.96,0.96,31.0,31.0
288995,1,4.24,4.24,60.0,60.0
289004,1,9.11,9.11,72.0,72.0
289022,1,1.08,1.08,11.0,11.0
289033,1,2.48,2.48,26.0,26.0
289046,1,0.92,0.92,17.0,17.0
289048,1,1.4,1.4,9.0,9.0
289058,1,0.74,0.74,8.0,8.0
289069,1,1.41,1.41,10.0,10.0
289071,1,1.52,1.52,10.0,10.0
289074,1,2.94,2.94,22.0,22.0
289079,1,0.15,0.15,3.0,3.0
289084,1,0.91,0.91,11.0,11.0
289086,1,4.36,4.36,57.0,57.0
289093,1,2.96,2.96,20.0,20.0
289097,1,0.58,0.58,4.0,4.0
289107,1,0.36,0.36,2.0,2.0
289108,1,2.6,2.6,15.0,15.0
289111,3,2.67,0.89,23.0,7.67
289125,1,0.88,0.88,7.0,7.0
289127,1,3.2,3.2,29.0,29.0
289129,1,1.25,1.25,10.0,10.0
289133,1,0.59,0.59,4.0,4.0
289135,1,1.14,1.14,12.0,12.0
289148,1,0.22,0.22,20.0,20.0
289149,1,0.96,0.96,8.0,8.0
289155,1,1.31,1.31,8.0,8.0
289160,1,1.68,1.68,17.0,17.0
289165,1,8.35,8.35,116.0,116.0
289166,1,1.37,1.37,17.0,17.0
289173,1,1.46,1.46,18.0,18.0
289177,1,1.02,1.02,8.0,8.0
289179,1,0.67,0.67,12.0,12.0
289196,1,1.66,1.66,14.0,14.0
289204,1,1.0,1.0,7.0,7.0
289207,1,2.95,2.95,16.0,16.0
289216,1,1.07,1.07,8.0,8.0
289217,1,0.15,0.15,7.0,7.0
289228,1,0.52,0.52,7.0,7.0
289231,1,1.11,1.11,10.0,10.0
289242,1,5.79,5.79,88.0,88.0
289245,1,0.87,0.87,14.0,14.0
289246,1,0.35,0.35,2.0,2.0
289267,1,1.34,1.34,13.0,13.0
289270,1,1.56,1.56,10.0,10.0
289271,1,0.38,0.38,24.0,24.0
289280,1,0.31,0.31,50.0,50.0
289289,1,0.35,0.35,2.0,2.0
289295,1,1.05,1.05,11.0,11.0
289300,1,0.96,0.96,8.0,8.0
289304,2,5.85,2.92,114.0,57.0
289308,1,3.36,3.36,20.0,20.0
289325,1,0.67,0.67,15.0,15.0
289337,1,0.15,0.15,3.0,3.0
289344,1,6.98,6.98,108.0,108.0
289358,2,4.57,2.29,32.0,16.0
289359,1,0.61,0.61,2.0,2.0
289366,1,1.24,1.24,24.0,24.0
289369,1,1.49,1.49,10.0,10.0
289382,1,0.29,0.29,23.0,23.0
289384,1,13.19,13.19,138.0,138.0
289385,1,2.84,2.84,51.0,51.0
289390,1,1.65,1.65,15.0,15.0
289395,1,3.4,3.4,33.0,33.0
289398,1,1.21,1.21,8.0,8.0
289408,1,0.48,0.48,4.0,4.0
289411,1,3.24,3.24,63.0,63.0
289413,1,0.7,0.7,9.0,9.0
289423,1,1.86,1.86,14.0,14.0
289443,1,1.01,1.01,12.0,12.0
289462,1,2.68,2.68,24.0,24.0
289470,1,0.22,0.22,67.0,67.0
289482,2,2.7,1.35,25.0,12.5
289496,1,1.86,1.86,16.0,16.0
289507,1,1.05,1.05,13.0,13.0
289551,1,0.35,0.35,87.0,87.0
289561,2,2.38,1.19,41.0,20.5
289574,1,3.4,3.4,32.0,32.0
289584,1,0.15,0.15,47.0,47.0
289589,1,2.35,2.35,41.0,41.0
289611,1,2.69,2.69,29.0,29.0
289625,1,0.8,0.8,109.0,109.0
289635,1,1.66,1.66,30.0,30.0
289642,1,2.56,2.56,16.0,16.0
289648,1,0.5,0.5,7.0,7.0
289655,1,0.44,0.44,3.0,3.0
289661,1,0.77,0.77,46.0,46.0
289663,1,0.86,0.86,10.0,10.0
289690,1,1.79,1.79,18.0,18.0
289701,1,1.68,1.68,8.0,8.0
289706,1,0.31,0.31,8.0,8.0
289707,1,1.54,1.54,13.0,13.0
289716,1,0.87,0.87,7.0,7.0
289720,1,4.83,4.83,47.0,47.0
289742,2,3.73,1.87,23.0,11.5
289745,1,1.82,1.82,19.0,19.0
289757,2,13.17,6.58,111.0,55.5
289760,1,0.87,0.87,9.0,9.0
289765,1,1.92,1.92,21.0,21.0
289774,1,1.45,1.45,10.0,10.0
289775,1,1.28,1.28,18.0,18.0
289784,1,0.72,0.72,23.0,23.0
289794,1,1.41,1.41,10.0,10.0
289795,1,2.0,2.0,17.0,17.0
289814,2,1.55,0.77,23.0,11.5
289823,2,1.93,0.97,53.0,26.5
289832,1,0.59,0.59,17.0,17.0
289833,1,1.86,1.86,13.0,13.0
289837,1,1.11,1.11,21.0,21.0
289844,1,0.36,0.36,10.0,10.0
289849,2,7.2,3.6,110.0,55.0
289851,1,1.1,1.1,9.0,9.0
289855,2,1.32,0.66,22.0,11.0
289866,1,1.66,1.66,13.0,13.0
289882,1,0.8,0.8,4.0,4.0
289890,1,1.02,1.02,7.0,7.0
289893,1,5.08,5.08,30.0,30.0
289900,1,3.36,3.36,36.0,36.0
289916,2,1.52,0.76,14.0,7.0
289931,2,3.54,1.77,30.0,15.0
289936,1,0.67,0.67,13.0,13.0
289937,1,0.44,0.44,8.0,8.0
289942,1,3.34,3.34,35.0,35.0
289944,1,6.61,6.61,52.0,52.0
289963,1,4.41,4.41,28.0,28.0
289971,1,0.67,0.67,7.0,7.0
289981,2,2.65,1.33,17.0,8.5
289988,1,0.24,0.24,6.0,6.0
289995,2,2.24,1.12,34.0,17.0
289997,1,1.92,1.92,45.0,45.0
290010,1,0.66,0.66,4.0,4.0
290015,1,1.27,1.27,16.0,16.0
290016,1,0.49,0.49,3.0,3.0
290029,1,0.38,0.38,55.0,55.0
290043,1,1.77,1.77,23.0,23.0
290053,3,2.37,0.79,43.0,14.33
290056,1,0.15,0.15,46.0,46.0
290063,1,4.35,4.35,33.0,33.0
290070,1,1.23,1.23,25.0,25.0
290077,1,3.88,3.88,35.0,35.0
290079,1,0.44,0.44,6.0,6.0
290081,1,0.79,0.79,13.0,13.0
290110,1,1.49,1.49,15.0,15.0
290112,1,7.44,7.44,165.0,165.0
290114,1,0.58,0.58,29.0,29.0
290127,1,0.31,0.31,24.0,24.0
290135,1,1.45,1.45,73.0,73.0
290142,1,3.38,3.38,38.0,38.0
290150,1,2.45,2.45,26.0,26.0
290162,1,0.8,0.8,28.0,28.0
290183,1,2.83,2.83,58.0,58.0
290188,1,0.4,0.4,3.0,3.0
290192,2,1.88,0.94,22.0,11.0
290199,1,0.79,0.79,12.0,12.0
290203,1,1.81,1.81,23.0,23.0
290205,1,2.1,2.1,10.0,10.0
290223,1,2.23,2.23,25.0,25.0
290230,1,6.76,6.76,55.0,55.0
290238,1,0.58,0.58,5.0,5.0
290246,1,0.83,0.83,11.0,11.0
290251,1,0.69,0.69,7.0,7.0
290258,1,1.27,1.27,11.0,11.0
290266,1,5.8,5.8,39.0,39.0
290278,1,1.66,1.66,12.0,12.0
290308,2,2.59,1.29,26.0,13.0
290311,1,2.06,2.06,23.0,23.0
290318,1,1.1,1.1,21.0,21.0
290319,1,1.11,1.11,16.0,16.0
290320,1,0.22,0.22,34.0,34.0
290321,1,1.07,1.07,10.0,10.0
290334,1,0.66,0.66,6.0,6.0
290352,1,6.94,6.94,37.0,37.0
290353,1,0.88,0.88,23.0,23.0
290357,1,0.49,0.49,10.0,10.0
290358,1,1.02,1.02,7.0,7.0
290368,1,0.87,0.87,8.0,8.0
290372,1,2.11,2.11,16.0,16.0
290373,1,0.58,0.58,6.0,6.0
290376,1,1.32,1.32,12.0,12.0
290387,1,1.01,1.01,17.0,17.0
290400,1,6.05,6.05,52.0,52.0
290411,1,0.72,0.72,4.0,4.0
290428,3,6.54,2.18,56.0,18.67
290432,2,3.78,1.89,30.0,15.0
290441,1,6.91,6.91,36.0,36.0
290443,1,0.15,0.15,17.0,17.0
290449,1,1.37,1.37,36.0,36.0
290455,1,1.47,1.47,12.0,12.0
290461,3,2.27,0.76,22.0,7.33
290464,1,1.25,1.25,22.0,22.0
290469,1,1.01,1.01,10.0,10.0
290475,1,0.83,0.83,26.0,26.0
290479,1,1.87,1.87,18.0,18.0
290481,1,0.53,0.53,8.0,8.0
290483,1,1.25,1.25,84.0,84.0
290485,1,2.51,2.51,23.0,23.0
290486,1,0.36,0.36,3.0,3.0
290494,1,0.62,0.62,4.0,4.0
290497,1,0.87,0.87,8.0,8.0
290515,1,0.72,0.72,5.0,5.0
290554,1,0.56,0.56,5.0,5.0
290568,2,7.22,3.61,73.0,36.5
290580,1,2.68,2.68,21.0,21.0
290582,1,0.35,0.35,24.0,24.0
290594,2,4.77,2.38,34.0,17.0
290612,1,3.8,3.8,38.0,38.0
290614,1,1.8,1.8,13.0,13.0
290619,1,1.31,1.31,10.0,10.0
290621,1,0.89,0.89,8.0,8.0
290625,2,2.4,1.2,19.0,9.5
290626,1,1.81,1.81,16.0,16.0
290633,1,0.48,0.48,29.0,29.0
290635,2,1.62,0.81,19.0,9.5
290639,1,2.27,2.27,14.0,14.0
290669,1,2.71,2.71,29.0,29.0
290671,1,0.56,0.56,4.0,4.0
290681,1,1.31,1.31,11.0,11.0
290688,1,1.31,1.31,13.0,13.0
290689,1,3.4,3.4,32.0,32.0
290704,1,0.72,0.72,6.0,6.0
290705,2,6.79,3.39,44.0,22.0
290709,1,0.88,0.88,5.0,5.0
290713,1,0.93,0.93,6.0,6.0
290726,1,1.37,1.37,12.0,12.0
290738,1,1.16,1.16,11.0,11.0
290743,1,0.44,0.44,5.0,5.0
290744,1,2.28,2.28,16.0,16.0
290759,1,2.21,2.21,43.0,43.0
290762,1,1.63,1.63,16.0,16.0
290764,1,1.18,1.18,11.0,11.0
290774,1,0.72,0.72,10.0,10.0
290776,1,1.92,1.92,23.0,23.0
290778,1,0.36,0.36,7.0,7.0
290787,1,1.71,1.71,11.0,11.0
290805,1,0.38,0.38,8.0,8.0
290814,2,3.9,1.95,65.0,32.5
290822,1,0.8,0.8,5.0,5.0
290824,1,1.8,1.8,14.0,14.0
290829,1,0.77,0.77,6.0,6.0
290836,1,0.72,0.72,9.0,9.0
290841,1,0.73,0.73,6.0,6.0
290847,1,3.12,3.12,28.0,28.0
290852,2,9.16,4.58,81.0,40.5
290859,1,0.83,0.83,6.0,6.0
290874,1,0.66,0.66,8.0,8.0
290883,1,0.52,0.52,7.0,7.0
290892,1,0.89,0.89,10.0,10.0
290893,1,0.72,0.72,5.0,5.0
290896,1,1.1,1.1,18.0,18.0
290903,1,1.23,1.23,9.0,9.0
290916,3,3.16,1.05,33.0,11.0
290917,1,0.29,0.29,48.0,48.0
290941,1,2.62,2.62,18.0,18.0
290961,2,2.15,1.07,38.0,19.0
290972,1,0.45,0.45,6.0,6.0
290973,1,0.45,0.45,12.0,12.0
290977,1,2.4,2.4,19.0,19.0
290986,1,2.02,2.02,27.0,27.0
290996,1,1.66,1.66,11.0,11.0
291001,2,3.19,1.59,52.0,26.0
291002,1,0.65,0.65,28.0,28.0
291011,1,0.67,0.67,5.0,5.0
291012,1,2.32,2.32,24.0,24.0
291013,1,0.44,0.44,8.0,8.0
291015,1,1.52,1.52,15.0,15.0
291050,1,2.5,2.5,35.0,35.0
291052,1,1.34,1.34,23.0,23.0
291053,1,1.2,1.2,14.0,14.0
291061,1,0.89,0.89,19.0,19.0
291066,1,0.67,0.67,4.0,4.0
291092,1,0.44,0.44,20.0,20.0
291094,1,0.89,0.89,26.0,26.0
291095,1,0.56,0.56,5.0,5.0
291096,1,0.74,0.74,5.0,5.0
291105,2,3.06,1.53,88.0,44.0
291110,1,2.05,2.05,15.0,15.0
291111,1,0.72,0.72,10.0,10.0
291117,3,1.6,0.53,15.0,5.0
291120,1,5.16,5.16,35.0,35.0
291122,1,4.98,4.98,33.0,33.0
291125,1,1.1,1.1,8.0,8.0
291128,2,4.41,2.21,25.0,12.5
291133,1,0.72,0.72,4.0,4.0
291147,1,1.25,1.25,10.0,10.0
291151,1,1.74,1.74,16.0,16.0
291153,1,0.86,0.86,36.0,36.0
291176,1,0.59,0.59,8.0,8.0
291182,1,1.16,1.16,11.0,11.0
291191,1,0.65,0.65,6.0,6.0
291192,1,5.16,5.16,34.0,34.0
291196,1,1.23,1.23,11.0,11.0
291198,1,1.0,1.0,6.0,6.0
291205,1,6.0,6.0,95.0,95.0
291210,1,1.79,1.79,16.0,16.0
291220,1,2.74,2.74,70.0,70.0
291221,1,0.89,0.89,10.0,10.0
291223,1,3.33,3.33,37.0,37.0
291225,2,4.15,2.08,48.0,24.0
291235,1,0.77,0.77,6.0,6.0
291238,1,2.6,2.6,25.0,25.0
291240,1,2.35,2.35,20.0,20.0
291241,1,0.4,0.4,4.0,4.0
291250,1,0.74,0.74,12.0,12.0
291253,1,0.52,0.52,14.0,14.0
291258,1,0.74,0.74,15.0,15.0
291263,1,0.86,0.86,29.0,29.0
291264,1,0.45,0.45,21.0,21.0
291268,2,1.18,0.59,14.0,7.0
291273,1,0.22,0.22,6.0,6.0
291274,1,0.15,0.15,28.0,28.0
291279,1,0.69,0.69,13.0,13.0
291282,1,1.04,1.04,7.0,7.0
291289,1,0.88,0.88,10.0,10.0
291296,1,0.8,0.8,5.0,5.0
291298,1,1.14,1.14,19.0,19.0
291301,1,2.84,2.84,25.0,25.0
291306,1,3.62,3.62,51.0,51.0
291308,2,3.15,1.58,19.0,9.5
291309,2,1.47,0.73,8.0,4.0
291310,1,0.59,0.59,6.0,6.0
291312,2,1.79,0.89,12.0,6.0
291324,1,0.56,0.56,9.0,9.0
291326,1,4.22,4.22,47.0,47.0
291332,2,4.84,2.42,40.0,20.0
291333,1,1.15,1.15,8.0,8.0
291351,1,0.72,0.72,11.0,11.0
291359,2,1.32,0.66,12.0,6.0
291362,1,2.07,2.07,14.0,14.0
291364,1,2.27,2.27,17.0,17.0
291366,1,1.24,1.24,9.0,9.0
291370,1,0.44,0.44,4.0,4.0
291371,1,2.91,2.91,15.0,15.0
291390,1,0.86,0.86,40.0,40.0
291393,1,2.12,2.12,17.0,17.0
291407,1,2.74,2.74,20.0,20.0
291415,1,5.17,5.17,57.0,57.0
291421,1,0.58,0.58,8.0,8.0
291422,1,1.82,1.82,23.0,23.0
291436,1,1.69,1.69,12.0,12.0
291440,1,0.92,0.92,12.0,12.0
291441,1,12.03,12.03,103.0,103.0
291445,2,3.53,1.77,46.0,23.0
291448,1,3.84,3.84,41.0,41.0
291452,1,0.74,0.74,7.0,7.0
291457,1,0.22,0.22,4.0,4.0
291458,1,2.54,2.54,19.0,19.0
291459,1,1.06,1.06,9.0,9.0
291461,1,0.29,0.29,3.0,3.0
291462,1,1.73,1.73,15.0,15.0
291466,1,1.92,1.92,20.0,20.0
291470,1,0.15,0.15,20.0,20.0
291490,1,2.56,2.56,18.0,18.0
291502,1,0.82,0.82,8.0,8.0
291510,1,0.59,0.59,6.0,6.0
291532,1,1.62,1.62,15.0,15.0
291534,1,1.05,1.05,9.0,9.0
291542,1,0.8,0.8,12.0,12.0
291545,1,2.54,2.54,34.0,34.0
291552,1,1.84,1.84,14.0,14.0
291555,1,1.41,1.41,13.0,13.0
291557,1,1.1,1.1,7.0,7.0
291560,1,1.4,1.4,12.0,12.0
291575,2,1.72,0.86,13.0,6.5
291578,1,0.67,0.67,5.0,5.0
291579,1,1.27,1.27,10.0,10.0
291582,1,0.92,0.92,10.0,10.0
291589,1,0.83,0.83,5.0,5.0
291603,1,0.62,0.62,5.0,5.0
291604,1,1.14,1.14,7.0,7.0
291607,1,0.49,0.49,15.0,15.0
291610,1,0.72,0.72,12.0,12.0
291644,1,0.67,0.67,17.0,17.0
291645,1,0.56,0.56,4.0,4.0
291650,1,0.86,0.86,12.0,12.0
291652,1,1.46,1.46,12.0,12.0
291663,2,2.38,1.19,17.0,8.5
291683,1,1.71,1.71,15.0,15.0
291695,1,1.56,1.56,10.0,10.0
291699,1,3.98,3.98,26.0,26.0
291707,1,1.16,1.16,11.0,11.0
291713,1,1.73,1.73,12.0,12.0
291714,1,1.91,1.91,17.0,17.0
291724,1,0.66,0.66,4.0,4.0
291728,1,0.65,0.65,7.0,7.0
291731,1,0.48,0.48,5.0,5.0
291735,2,1.48,0.74,32.0,16.0
291738,1,5.0,5.0,39.0,39.0
291739,1,3.24,3.24,26.0,26.0
291744,1,0.52,0.52,3.0,3.0
291750,1,0.88,0.88,8.0,8.0
291754,1,2.4,2.4,14.0,14.0
291756,1,6.51,6.51,80.0,80.0
291758,1,1.17,1.17,6.0,6.0
291765,1,1.29,1.29,10.0,10.0
291773,1,3.42,3.42,33.0,33.0
291774,1,0.15,0.15,67.0,67.0
291777,1,1.9,1.9,40.0,40.0
291782,1,0.52,0.52,5.0,5.0
291785,1,0.58,0.58,6.0,6.0
291788,1,1.78,1.78,16.0,16.0
291789,2,3.03,1.52,26.0,13.0
291795,1,0.4,0.4,4.0,4.0
291797,1,0.58,0.58,7.0,7.0
291798,2,1.16,0.58,15.0,7.5
291802,1,1.52,1.52,7.0,7.0
291803,1,1.06,1.06,7.0,7.0
291810,2,6.62,3.31,37.0,18.5
291814,1,2.32,2.32,24.0,24.0
291819,1,0.8,0.8,19.0,19.0
291820,1,2.67,2.67,21.0,21.0
291825,1,1.59,1.59,16.0,16.0
291829,1,1.81,1.81,16.0,16.0
291835,1,0.96,0.96,8.0,8.0
291837,1,0.45,0.45,3.0,3.0
291841,1,2.93,2.93,23.0,23.0
291858,1,0.29,0.29,14.0,14.0
291861,1,2.95,2.95,17.0,17.0
291869,2,7.26,3.63,51.0,25.5
291871,1,0.91,0.91,9.0,9.0
291874,1,0.91,0.91,30.0,30.0
291878,1,1.34,1.34,8.0,8.0
291879,1,1.07,1.07,10.0,10.0
291885,1,0.88,0.88,4.0,4.0
291888,1,0.8,0.8,8.0,8.0
291889,2,1.28,0.64,10.0,5.0
291890,1,0.66,0.66,7.0,7.0
291892,1,2.09,2.09,21.0,21.0
291903,1,0.66,0.66,6.0,6.0
291904,1,1.59,1.59,10.0,10.0
291906,4,8.08,2.02,63.0,15.75
291909,2,2.43,1.22,23.0,11.5
291924,2,5.34,2.67,48.0,24.0
291925,1,0.67,0.67,4.0,4.0
291929,1,1.35,1.35,13.0,13.0
291933,1,0.98,0.98,10.0,10.0
291942,2,1.94,0.97,15.0,7.5
291947,1,0.56,0.56,31.0,31.0
291948,1,1.57,1.57,11.0,11.0
291963,1,5.66,5.66,51.0,51.0
291974,1,4.26,4.26,22.0,22.0
291978,1,1.63,1.63,100.0,100.0
291982,4,9.13,2.28,85.0,21.25
291993,1,0.82,0.82,10.0,10.0
291996,1,1.78,1.78,22.0,22.0
292009,1,1.22,1.22,9.0,9.0
292012,1,4.23,4.23,36.0,36.0
292014,1,0.48,0.48,4.0,4.0
292017,1,0.15,0.15,9.0,9.0
292018,1,0.38,0.38,36.0,36.0
292020,1,2.72,2.72,20.0,20.0
292023,1,1.61,1.61,12.0,12.0
292026,2,1.58,0.79,24.0,12.0
292032,1,0.31,0.31,7.0,7.0
292036,1,1.21,1.21,6.0,6.0
292038,1,5.58,5.58,28.0,28.0
292040,1,2.6,2.6,17.0,17.0
292041,1,2.26,2.26,17.0,17.0
292048,1,0.96,0.96,8.0,8.0
292051,1,0.86,0.86,8.0,8.0
292053,2,1.93,0.96,40.0,20.0
292059,1,6.44,6.44,47.0,47.0
292071,1,1.29,1.29,9.0,9.0
292072,1,1.16,1.16,156.0,156.0
292076,1,0.45,0.45,4.0,4.0
292081,1,2.74,2.74,56.0,56.0
292082,2,2.85,1.43,18.0,9.0
292086,2,0.58,0.29,11.0,5.5
292088,1,2.07,2.07,16.0,16.0
292107,2,1.28,0.64,14.0,7.0
292116,1,1.46,1.46,14.0,14.0
292117,1,1.34,1.34,16.0,16.0
292135,1,1.84,1.84,16.0,16.0
292142,2,1.86,0.93,22.0,11.0
292146,1,0.87,0.87,15.0,15.0
292159,1,3.8,3.8,40.0,40.0
292160,1,1.44,1.44,46.0,46.0
292162,1,0.96,0.96,11.0,11.0
292167,1,0.56,0.56,7.0,7.0
292175,1,2.5,2.5,17.0,17.0
292178,1,0.52,0.52,144.0,144.0
292179,1,1.1,1.1,12.0,12.0
292182,1,2.57,2.57,27.0,27.0
292184,1,0.67,0.67,6.0,6.0
292187,1,1.06,1.06,8.0,8.0
292192,1,2.95,2.95,21.0,21.0
292196,1,1.9,1.9,20.0,20.0
292204,1,1.08,1.08,10.0,10.0
292213,1,0.61,0.61,68.0,68.0
292221,1,2.07,2.07,17.0,17.0
292235,1,2.07,2.07,9.0,9.0
292243,1,0.72,0.72,4.0,4.0
292248,1,3.33,3.33,27.0,27.0
292249,1,0.45,0.45,6.0,6.0
292251,1,0.74,0.74,6.0,6.0
292256,1,0.45,0.45,4.0,4.0
292259,1,3.44,3.44,28.0,28.0
292268,2,2.19,1.09,38.0,19.0
292278,1,0.44,0.44,3.0,3.0
292287,1,1.14,1.14,15.0,15.0
292289,2,3.42,1.71,41.0,20.5
292304,1,1.24,1.24,7.0,7.0
292309,1,1.07,1.07,8.0,8.0
292315,1,0.52,0.52,3.0,3.0
292328,1,0.35,0.35,4.0,4.0
292343,1,2.32,2.32,50.0,50.0
292353,2,1.41,0.7,17.0,8.5
292357,1,1.01,1.01,10.0,10.0
292363,1,1.31,1.31,10.0,10.0
292371,1,1.57,1.57,16.0,16.0
292381,1,0.8,0.8,7.0,7.0
292393,1,1.25,1.25,9.0,9.0
292397,1,0.49,0.49,34.0,34.0
292409,1,1.14,1.14,11.0,11.0
292411,3,3.36,1.12,32.0,10.67
292416,1,3.69,3.69,29.0,29.0
292420,1,0.35,0.35,73.0,73.0
292423,1,0.56,0.56,8.0,8.0
292426,2,1.66,0.83,18.0,9.0
292432,2,3.54,1.77,31.0,15.5
292440,1,0.58,0.58,12.0,12.0
292450,1,4.29,4.29,28.0,28.0
292454,2,3.36,1.68,23.0,11.5
292464,2,5.53,2.77,49.0,24.5
292468,1,0.91,0.91,4.0,4.0
292481,1,0.8,0.8,7.0,7.0
292485,1,3.05,3.05,22.0,22.0
292490,1,3.49,3.49,26.0,26.0
292494,1,1.34,1.34,9.0,9.0
292505,1,0.72,0.72,5.0,5.0
292507,1,0.49,0.49,2.0,2.0
292510,1,1.14,1.14,8.0,8.0
292514,1,0.22,0.22,12.0,12.0
292515,1,2.48,2.48,24.0,24.0
292516,2,3.56,1.78,24.0,12.0
292517,1,1.37,1.37,12.0,12.0
292518,2,3.49,1.74,41.0,20.5
292521,1,0.88,0.88,6.0,6.0
292526,1,3.38,3.38,23.0,23.0
292531,1,0.44,0.44,3.0,3.0
292545,1,0.58,0.58,7.0,7.0
292547,1,1.36,1.36,13.0,13.0
292564,1,6.06,6.06,65.0,65.0
292569,1,1.63,1.63,10.0,10.0
292573,1,3.31,3.31,26.0,26.0
292577,1,5.45,5.45,49.0,49.0
292578,1,0.56,0.56,7.0,7.0
292581,1,1.11,1.11,18.0,18.0
292585,1,1.25,1.25,8.0,8.0
292601,1,0.77,0.77,8.0,8.0
292604,1,0.24,0.24,7.0,7.0
292614,2,3.35,1.68,45.0,22.5
292615,1,0.96,0.96,11.0,11.0
292627,1,0.77,0.77,17.0,17.0
292638,1,0.96,0.96,9.0,9.0
292650,1,0.49,0.49,9.0,9.0
292661,2,2.6,1.3,23.0,11.5
292663,1,0.67,0.67,5.0,5.0
292667,1,5.5,5.5,39.0,39.0
292671,1,2.87,2.87,28.0,28.0
292691,1,0.94,0.94,7.0,7.0
292696,1,1.98,1.98,17.0,17.0
292699,1,1.18,1.18,9.0,9.0
292701,1,0.7,0.7,4.0,4.0
292704,2,2.31,1.15,45.0,22.5
292707,1,1.87,1.87,14.0,14.0
292713,1,0.92,0.92,9.0,9.0
292715,1,0.67,0.67,12.0,12.0
292718,1,2.02,2.02,30.0,30.0
292723,1,0.22,0.22,3.0,3.0
292724,2,1.76,0.88,15.0,7.5
292725,2,2.23,1.12,25.0,12.5
292727,1,2.6,2.6,21.0,21.0
292733,1,0.74,0.74,5.0,5.0
292735,1,4.26,4.26,38.0,38.0
292737,1,1.24,1.24,11.0,11.0
292738,1,1.91,1.91,13.0,13.0
292739,1,1.66,1.66,17.0,17.0
292748,1,1.19,1.19,12.0,12.0
292753,1,1.14,1.14,10.0,10.0
292759,1,2.48,2.48,15.0,15.0
292762,1,0.96,0.96,13.0,13.0
292770,1,2.17,2.17,16.0,16.0
292771,1,0.52,0.52,3.0,3.0
292789,1,0.86,0.86,6.0,6.0
292791,1,0.59,0.59,5.0,5.0
292792,1,2.8,2.8,24.0,24.0
292799,1,1.49,1.49,10.0,10.0
292804,1,2.12,2.12,75.0,75.0
292806,1,0.66,0.66,6.0,6.0
292810,1,1.02,1.02,10.0,10.0
292812,1,1.07,1.07,10.0,10.0
292814,1,0.59,0.59,8.0,8.0
292817,1,0.83,0.83,5.0,5.0
292824,1,1.25,1.25,10.0,10.0
292829,1,1.95,1.95,22.0,22.0
292833,1,1.22,1.22,12.0,12.0
292834,1,0.96,0.96,12.0,12.0
292838,1,1.24,1.24,9.0,9.0
292839,1,1.52,1.52,19.0,19.0
292843,1,1.01,1.01,7.0,7.0
292845,1,0.67,0.67,4.0,4.0
292846,1,0.67,0.67,8.0,8.0
292851,1,0.83,0.83,6.0,6.0
292852,1,2.3,2.3,17.0,17.0
292855,1,0.97,0.97,7.0,7.0
292857,2,1.25,0.62,13.0,6.5
292860,1,0.61,0.61,5.0,5.0
292861,1,0.4,0.4,8.0,8.0
292873,1,1.02,1.02,8.0,8.0
292874,2,2.91,1.45,23.0,11.5
292876,1,0.97,0.97,11.0,11.0
292884,1,2.01,2.01,15.0,15.0
292885,2,2.26,1.13,25.0,12.5
292889,1,1.45,1.45,10.0,10.0
292896,1,1.23,1.23,22.0,22.0
292903,1,1.04,1.04,10.0,10.0
292913,2,6.94,3.47,48.0,24.0
292926,1,1.76,1.76,18.0,18.0
292928,1,0.72,0.72,14.0,14.0
292932,1,0.61,0.61,4.0,4.0
292949,1,1.05,1.05,8.0,8.0
292950,1,1.35,1.35,12.0,12.0
