userid,R,F,M,R_SC,F_SC,M_SC
299,6,2,4.55,0.3522796846468311,-1.1663039279150031,-0.758206057764066
300,6,3,7.21,0.3522796846468311,-0.8786131264570376,-0.3447994263204982
301,1,8,8.8,-0.5962606993748027,0.5598408808327904,-0.09768794361550827
302,1,3,2.36,-0.5962606993748027,-0.8786131264570376,-1.0985671565841464
303,11,1,2.38,1.300820068668465,-1.4539947293729687,-1.0954588360469766
304,0,4,9.6,-0.7859687761791295,-0.590922324999072,0.026644877871278873
305,6,3,11.26,0.3522796846468311,-0.8786131264570376,0.28463548245636255
306,9,1,0.66,0.9214039150598115,-1.4539947293729687,-1.3627744022435693
307,0,9,13.84,-0.7859687761791295,0.8475316822907559,0.6856088317512516
308,8,2,1.63,0.7316958382554847,-1.1663039279150031,-1.2120208561908397
309,4,1,2.4,-0.027136468961822417,-1.4539947293729687,-1.0923505155098068
310,2,2,5.56,-0.406552622570476,-1.1663039279150031,-0.601235870636997
311,6,4,6.78,0.3522796846468311,-0.590922324999072,-0.4116283178696463
312,0,12,23.93,-0.7859687761791295,1.7106040866646526,2.2537565427533566
313,0,4,4.45,-0.7859687761791295,-0.590922324999072,-0.7737476604499144
314,7,3,7.81,0.5419877614511579,-0.8786131264570376,-0.25154981020540773
315,2,7,22.57,-0.406552622570476,0.27215007937482477,2.042390746225818
316,8,4,9.48,0.7316958382554847,-0.590922324999072,0.007994954648260897
317,6,2,1.06,0.3522796846468311,-1.1663039279150031,-1.3006079915001756
318,4,3,5.53,-0.027136468961822417,-0.8786131264570376,-0.6058983514427515
319,2,1,0.58,-0.406552622570476,-1.4539947293729687,-1.375207684392248
320,2,1,1.01,-0.406552622570476,-1.4539947293729687,-1.3083787928430999
321,0,3,5.72,-0.7859687761791295,-0.8786131264570376,-0.5763693063396396
322,2,5,10.63,-0.406552622570476,-0.3032315235411064,0.1867233855355177
323,4,7,15.58,-0.027136468961822417,0.27215007937482477,0.9560327184850141
324,4,8,16.85,-0.027136468961822417,0.5598408808327904,1.153411072595289
325,4,4,4.95,-0.027136468961822417,-0.590922324999072,-0.6960396470206723
326,1,6,8.73,-0.5962606993748027,-0.01554072208314083,-0.1085670654956022
327,5,6,3.81,0.16257160784250435,-0.01554072208314083,-0.8732139176393442
328,2,3,6.0,-0.406552622570476,-0.8786131264570376,-0.5328528188192639
329,7,3,3.34,0.5419877614511579,-0.8786131264570376,-0.9462594502628319
330,1,4,10.58,-0.5962606993748027,-0.590922324999072,0.1789525841925934
331,0,7,13.72,-0.7859687761791295,0.27215007937482477,0.6669589085282337
332,6,2,2.99,0.3522796846468311,-1.1663039279150031,-1.0006550596633013
333,0,2,5.95,-0.7859687761791295,-1.1663039279150031,-0.5406236201621881
334,2,5,5.29,-0.406552622570476,-0.3032315235411064,-0.6431981978887877
335,17,6,11.81,2.439068529494426,-0.01554072208314083,0.37011429722852895
336,3,2,2.17,-0.2168445457661492,-1.1663039279150031,-1.1280962016872582
337,15,5,6.1,2.059652375885772,-0.3032315235411064,-0.5173112161334156
338,2,4,3.41,-0.406552622570476,-0.590922324999072,-0.9353803283827379
339,4,5,9.78,-0.027136468961822417,-0.3032315235411064,0.05461976270580597
340,3,2,3.39,-0.2168445457661492,-1.1663039279150031,-0.9384886489199075
341,0,3,4.6,-0.7859687761791295,-0.8786131264570376,-0.7504352564211418
342,0,1,1.59,-0.7859687761791295,-1.4539947293729687,-1.218237497265179
343,1,5,7.58,-0.5962606993748027,-0.3032315235411064,-0.287295496382859
344,0,6,7.9,-0.7859687761791295,-0.01554072208314083,-0.23756236778814405
345,1,3,4.93,-0.5962606993748027,-0.8786131264570376,-0.699147967557842
346,9,4,6.84,0.9214039150598115,-0.590922324999072,-0.40230335625813735
347,4,5,6.92,-0.027136468961822417,-0.3032315235411064,-0.38987007410945856
348,0,2,3.1,-0.7859687761791295,-1.1663039279150031,-0.9835592967088681
349,4,7,11.75,-0.027136468961822417,0.27215007937482477,0.3607893356170198
350,2,6,8.07,-0.406552622570476,-0.01554072208314083,-0.21114164322220177
351,1,3,2.23,-0.5962606993748027,-0.8786131264570376,-1.1187712400757492
352,1,7,11.88,-0.5962606993748027,0.27215007937482477,0.3809934191086229
353,0,5,4.88,-0.7859687761791295,-0.3032315235411064,-0.7069187689007662
354,0,2,1.73,-0.7859687761791295,-1.1663039279150031,-1.1964792535049913
355,0,6,9.96,-0.7859687761791295,-0.01554072208314083,0.08259464754033335
356,3,5,4.5,-0.2168445457661492,-0.3032315235411064,-0.7659768591069902
357,7,1,1.9,0.5419877614511579,-1.4539947293729687,-1.1700585289390488
