userid,recency(day),frequency(次),total_distance(km),R_SC,F_SC,M_SC,cluster,level
14000,1,6,16.5,-0.5962606993748027,-0.0155407220831408,1.0990154631948197,0,S
14001,0,4,3.84,-0.7859687761791295,-0.590922324999072,-0.8685514368335897,2,A
14002,2,5,8.24,-0.406552622570476,-0.3032315235411064,-0.1847209186562594,2,A
14003,0,5,6.76,-0.7859687761791295,-0.3032315235411064,-0.414736638406816,2,A
14004,6,4,7.24,0.3522796846468311,-0.590922324999072,-0.3401369455147436,2,A
14005,0,5,8.0,-0.7859687761791295,-0.3032315235411064,-0.2220207651022957,2,A
14006,1,9,13.05,-0.5962606993748027,0.8475316822907559,0.5628301705330493,0,S
14007,2,5,7.25,-0.406552622570476,-0.3032315235411064,-0.3385827852461588,2,A
14008,0,12,18.37,-0.7859687761791295,1.7106040866646526,1.389643433420185,0,S
14009,0,4,4.87,-0.7859687761791295,-0.590922324999072,-0.708472929169351,2,A
14010,3,4,5.72,-0.2168445457661492,-0.590922324999072,-0.5763693063396396,2,A
14011,3,1,1.1,-0.2168445457661492,-1.4539947293729687,-1.2943913504258364,2,A
14012,13,2,6.31,1.6802362222771188,-1.1663039279150031,-0.4846738504931339,1,B
14014,5,2,5.93,0.1625716078425043,-1.1663039279150031,-0.5437319406993579,2,A
14015,6,3,5.94,0.3522796846468311,-0.8786131264570376,-0.542177780430773,2,A
14016,7,3,2.08,0.5419877614511579,-0.8786131264570376,-1.142083644104522,2,A
14017,1,3,3.42,-0.5962606993748027,-0.8786131264570376,-0.9338261681141532,2,A
14018,11,1,0.86,1.300820068668465,-1.4539947293729687,-1.3316911968718723,1,B
14019,7,3,5.76,0.5419877614511579,-0.8786131264570376,-0.5701526652653002,2,A
14020,1,3,3.09,-0.5962606993748027,-0.8786131264570376,-0.9851134569774528,2,A
14021,9,2,6.17,0.9214039150598116,-1.1663039279150031,-0.5064320942533217,1,B
14023,4,2,1.33,-0.0271364689618224,-1.1663039279150031,-1.258645664248385,2,A
